a;b;c;d;e;f;g;h;i;j
0,5;1,0;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,0;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,0;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,0;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,0;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,0;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,0;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,1;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,1;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,0
0,5;1,1;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,1
0,6;1,1;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,1
0,6;1,1;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,1
0,7;1,1;0,9;0,3;0,2;0,6;0,7;0,4;0,8;0,1
0,7;1,1;0,9;0,3;0,2;0,6;0,7;0,4;0,9;0,1
0,7;1,1;0,9;0,3;0,2;0,6;0,7;0,4;1,0;0,1
0,7;1,1;0,9;0,3;0,2;0,6;0,7;0,4;1,1;0,1
