a;b;c;d;e;f;g;h;i;j
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,3
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,4
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,4
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,4
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,4
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,4
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,4
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,4
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,5
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,5
0,6;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,5
0,7;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,5
0,7;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,5
0,7;0,8;0,2;0,1;0,4;0,0;0,5;0,7;0,8;0,5
0,7;0,8;0,2;0,1;0,4;0,1;0,5;0,7;0,8;0,5
0,7;0,8;0,2;0,1;0,4;0,1;0,5;0,7;0,8;0,5
